Nombre del recurso;Tipo de recurso;Provincia;Localidad / Ámbito;Dirigido a;Teléfono(s) de contacto;Web;Email;Descripción clara del recurso;Modalidad;Coste
061 Emergencias Sanitarias de Andalucía;Servicio público de emergencias;Nacional;Andalucía;Supervivientes (familiares, allegados, amistades, compañeros/as...);061;www.sspa.juntadeandalucia.es/servicioandaluzdesalud/ciudadania/urgencias-y-emergencias;;Atención urgente y crítica. Coordinación y atención sanitaria inmediata a personas con conducta suicida en ámbito prehospitalario; así como cualquier otra urgencia/emergencia sanitaria.;Presencial / Telefónico;Gratuito
Emergencias 112;Servicio público de emergencias;Nacional;Andalucía;Supervivientes (familiares, allegados, amistades, compañeros/as...);112;www.juntadeandalucia.es/organismos/presidenciaadministracionpublicaeinterior/areas/interior/emergencias-112.html;;Teléfono de emergencias para riesgo vital inmediato. Coordinación de recursos policiales y bomberos. Coordinación con 061 (Emergencias sanitarias);Telefónico;Gratuito
Salud Responde;Servicio público información;Nacional;Andalucía;Supervivientes (familiares, allegados, amistades, compañeros/as...);955 54 50 60;www.sspa.juntadeandalucia.es/servicioandaluzdesalud/ciudadania/salud-responde;;Información sobre servicios sanitarios y trámites. No es para emergencias vitales, pero orientan en el sistema de salud.;Telefónico / App;Gratuito
Línea 024 de Atención a la Conducta Suicida;Servicio Público Nacional;Nacional;Nacional;Accesible desde toda España;024;www.sanidad.gob.es/linea024;;Línea de ayuda a personas con pensamientos, ideaciones o riesgo de conducta suicida, y a sus familiares y allegados. Ayuda preventiva y soporte emocional. Anónima y confidencial.;Telefónico 24h;Gratuito
Asociación Alma y Vida (Almería);Asociación Duelo;Almería;Almería Capital (Espacio Alma);Supervivientes (familiares, allegados, amistades, compañeros/as...);629 28 01 93;www.almayvida.es;;Referente en acompañamiento al duelo. Grupos de Ayuda Mutua para padres y madres que han perdido hijos, y familiares en duelo por suicidio. Acogida y orientación.;Presencial / Online;Gratuito (Socios)
Asociación Alma y Vida (Sevilla);Asociación Duelo;Sevilla;Sevilla;Supervivientes (familiares, allegados, amistades, compañeros/as...);657 41 12 02;www.almayvida.es;;Referente en acompañamiento al duelo. Grupos de Ayuda Mutua para padres y madres que han perdido hijos, y familiares en duelo por suicidio. Acogida y orientación.;Presencial / Online;Gratuito (Socios)
Asociación Alma y Vida (Algeciras);Asociación Duelo;Cádiz;Algeciras;Supervivientes (familiares, allegados, amistades, compañeros/as...);;www.almayvida.es;;Referente en acompañamiento al duelo. Grupos de Ayuda Mutua y orientación para familiares en duelo.;Presencial / Online;Gratuito (Socios)
Asociación Alma y Vida (Córdoba);Asociación Duelo;Córdoba;Córdoba Capital;Supervivientes (familiares, allegados, amistades, compañeros/as...);;www.almayvida.es;;Referente en acompañamiento al duelo. Grupos de Ayuda Mutua y orientación para familiares en duelo.;Presencial / Online;Gratuito (Socios)
Asociación Alma y Vida (Puente Genil);Asociación Duelo;Córdoba;Puente Genil;Supervivientes (familiares, allegados, amistades, compañeros/as...);;www.almayvida.es;;Referente en acompañamiento al duelo. Grupos de Ayuda Mutua y orientación para familiares en duelo.;Presencial / Online;Gratuito (Socios)
Asociación Alma y Vida (Jaén);Asociación Duelo;Jaén;Jaén Capital;Supervivientes (familiares, allegados, amistades, compañeros/as...);;www.almayvida.es;;Referente en acompañamiento al duelo. Grupos de Ayuda Mutua y orientación para familiares en duelo.;Presencial / Online;Gratuito (Socios)
Asociación Alma y Vida (Granada);Asociación Duelo;Granada;Granada Capital;Supervivientes (familiares, allegados, amistades, compañeros/as...);;www.almayvida.es;;Referente en acompañamiento al duelo. Grupos de Ayuda Mutua y orientación para familiares en duelo.;Presencial / Online;Gratuito (Socios)
Teléfono de la Esperanza (Sede Almería);Asociación / Teléfono;Almería;Almería Capital y Provincia;Supervivientes (familiares, allegados, amistades, compañeros/as...);950 26 99 99;www.telefonodelaesperanza.org/almeria;;Intervención en crisis. Atención telefónica especializada en escucha activa. Talleres y grupos de apoyo emocional. Prevención del suicidio.;Presencial / Telefónico;Gratuito / Donativos
Teléfono de la Esperanza (Sede Jaén);Asociación / Teléfono;Jaén;Jaén Capital;Supervivientes (familiares, allegados, amistades, compañeros/as...);953 26 09 31;www.telefonodelaesperanza.org/jaen;;Intervención en crisis, promoción de la salud emocional. Atención telefónica y talleres presenciales.;Presencial / Telefónico;Gratuito / Donativos
Teléfono de la Esperanza (Sede Málaga);Asociación / Teléfono;Málaga;Málaga Capital;Supervivientes (familiares, allegados, amistades, compañeros/as...);952 26 15 00;www.telefonodelaesperanza.org/malaga;;Atención en crisis y prevención del suicidio. Escucha activa y recursos de apoyo emocional.;Presencial / Telefónico;Gratuito / Donativos
Teléfono de la Esperanza (Sede Sevilla);Asociación / Teléfono;Sevilla;Sevilla Capital;Supervivientes (familiares, allegados, amistades, compañeros/as...);954 57 68 00;www.telefonodelaesperanza.org/sevilla;;Atención en crisis y prevención del suicidio. Escucha activa y recursos de apoyo emocional.;Presencial / Telefónico;Gratuito / Donativos
Teléfono de la Esperanza (Sede Granada);Asociación / Teléfono;Granada;Granada Capital;Supervivientes (familiares, allegados, amistades, compañeros/as...);958 26 15 16;www.telefonodelaesperanza.org/granada;;Atención en crisis y prevención del suicidio. Escucha activa y recursos de apoyo emocional.;Presencial / Telefónico;Gratuito / Donativos
Teléfono de la Esperanza (Sede Córdoba);Asociación / Teléfono;Córdoba;Córdoba Capital;Supervivientes (familiares, allegados, amistades, compañeros/as...);957 47 01 95;www.telefonodelaesperanza.org/cordoba;;Atención en crisis y prevención del suicidio. Escucha activa y recursos de apoyo emocional.;Presencial / Telefónico;Gratuito / Donativos
Teléfono de la Esperanza (Sede Huelva);Asociación / Teléfono;Huelva;Huelva Capital;Supervivientes (familiares, allegados, amistades, compañeros/as...);959 28 15 15;www.telefonodelaesperanza.org/huelva;;Atención en crisis y prevención del suicidio. Escucha activa y recursos de apoyo emocional.;Presencial / Telefónico;Gratuito / Donativos
Unidad de Atención Psicológica (UAL);Servicio Universitario;Almería;Comunidad Universitaria UAL;Jóvenes (Estudiantes) y Comunidad Universitaria;950 01 50 00;www.ual.es/vida-universitaria/servicio-de-atencion-psicologica;;Servicio de atención psicológica para estudiantes y personal de la Universidad de Almería.;Presencial;Gratuito (Universitarios)
UGC Salud Mental (Hosp. Univ. Poniente);Servicio Público (SAS);Almería;El Ejido / Roquetas / Poniente;Sobrevivientes (prevención, propia, conducta);Urgent: 061 / Cita: Salud Responde;;;Unidad de Gestión Clínica de Salud Mental. Atención psiquiátrica y psicológica pública.;Presencial;Gratuito (SAS)
UGC Salud Mental (Hosp. La Inmaculada);Servicio Público (SAS);Almería;Huércal-Overa / Levante / Norte;Sobrevivientes (prevención, propia, conducta);Urgent: 061 / Cita: Salud Responde;;;Unidad de Gestión Clínica de Salud Mental. Atención psiquiátrica y psicológica pública.;Presencial;Gratuito (SAS)
Asociación Papageno;Asociación Profesionales/Afectados;Nacional;Andalucía / Nacional;Supervivientes (familiares, allegados, amistades, compañeros/as...);633 16 91 29 (Whatsapp);www.papageno.es;;Asociación nacida en Cádiz, referente nacional. Ofrecen grupos de ayuda mutua (GAM) presenciales y online, y red de profesionales expertos para la prevención y posvención de suicidio.;Online / Presencial;Gratuito / Socios
RedAIPIS-FAeDS;Asociación / Recurso Web;Nacional;Accesible desde Almería;Supervivientes (familiares, allegados, amistades, compañeros/as...);;www.redaipis.org;;Asociación de Investigación, Prevención e Intervención del Suicidio. Recursos web, guías y formación.;Online;Gratuito
Asociación La Niña Amarilla;Asociación Prevención;Nacional;Accesible desde Almería;Jóvenes (Estudiantes, menores, adolescentes);;www.laninaamarilla.com;;La Asociación nació de la necesidad de hablar sobre las muertes por suicidio desde la prevención, de romper estigmas, de romper el silencio, a través de la comunicación. Promover la prevención del Suicidio en diferentes ámbitos sociales.;Online / Presencial;Gratuito
Justalegría (Málaga);ONG / Salud Mental;Málaga;Málaga Capital;Sobrevivientes (prevención, propia, conducta);951 28 61 72;www.justalegria.org;;Atención psicológica a personas en riesgo de exclusión y prevención del suicidio.;Presencial;Variable / Gratuito
A tu lado Huelva;Asociación Duelo;Huelva;Huelva Capital;Supervivientes (familiares, allegados, amistades, compañeros/as...);623 46 88 56;;atuladohuelva@gmail.com;Somos familiares y amigo que hemos vivido la muerte de una persona por suicidio y nos dedicamos a dar apoyo en el proceso de duelo.;Presencial;Gratuito
Gabinete de Psicología (UJA);Servicio Universitario;Jaén;Comunidad Universitaria UJA;Estudiantes de la UJA. Personal Docente e Investigador (PDI), Personal de Administración y Servicios (PAS) de la UJA y sus parejas e hijos.;953 21 21 21;www.ujaen.es/servicios/gapsi/;;Servicio de atención psicológica de la Universidad de Jaén.;Presencial;Gratuito (Universitarios)
Grupo de Ayuda Mutua - GAMA (Alcalá la Real);Asociación Local;Jaén;Alcalá la Real;Supervivientes (familiares, allegados, amistades, compañeros/as...);660 62 76 60;;;Damos visibilidad y concienciamos sobre la Depresión y la prevención del suicidio. Grupo de Ayuda Mutua.;Presencial;Gratuito
Guía para supervivientes (Tramuntana 2025);Guía / Documento;Nacional;Nacional / Online;Supervivientes (familiares, allegados, amistades, compañeros/as...);;Busca en Google: Guia Supervivientes Tramuntana;;Guía para acompañar a las personas que acaban de perder a alguien por suicidio. Ofrece información clara sobre lo que ocurre en los primeros momentos. También recoge orientaciones para cuidarse emocionalmente en el duelo, recursos para solicitar ayuda psicológica y social, recomendaciones para acompañar a niños y adolescentes que también son supervivientes. PDF descargable.;Documento PDF;Gratuito
